universe,screen_rule,controller,split_id,cost_bps,n_assets,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,11,10.0,10,0.02374456198100372,0.2046121258911316,0.11604669995717405,-0.08228688143568164,9.88509087526474
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,12,10.0,10,-0.5533503505422086,0.29982078762223785,-1.8456036852173248,-0.19331386877648704,8.471591577876044
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,13,10.0,10,0.016409197177070567,0.21199498999951943,0.07740370268670198,-0.08919791930209686,9.206514820523248
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,14,10.0,10,0.5687207707819191,0.16518624834969164,3.442906273738481,-0.051943075082542034,11.78617513329963
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,15,10.0,10,-0.20221188347122032,0.2420631620933421,-0.8353682638930823,-0.1346064626326675,15.52401093249563
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,16,10.0,10,0.20080222309887796,0.14783169668804874,1.3583164341355574,-0.05151781482209272,18.44863749043766
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,17,10.0,10,0.15818214715737255,0.17687176556933445,0.8943323805656826,-0.06138869956349369,12.637331810230693
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,18,10.0,10,0.5331152596662538,0.17897651895867378,2.978688281373788,-0.07056654085966485,11.067484572816007
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,19,10.0,10,0.2600422783327949,0.11972262091544664,2.17203963914452,-0.04253898935055089,17.430812530477095
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,20,10.0,10,-0.01323783111509691,0.1433698728956012,-0.09233342296846474,-0.06056632480485857,14.103276286758181
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,21,10.0,10,0.29728322729233625,0.29021051429536054,1.024370974336075,-0.15340382831742994,12.321807623134228
liquid_us_equity_250,low_volatility_63_top10,EW,0,10.0,10,0.3965059390286214,0.10416329693284762,3.8065801553923135,-0.024801559654534455,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,1,10.0,10,0.09104138727584221,0.1150742700971942,0.7911532890728357,-0.035598550320167566,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,2,10.0,10,0.19339262493194775,0.08209848886647712,2.3556173517897623,-0.023768317206812273,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,3,10.0,10,-0.5065183459355644,0.6002659813538689,-0.8438231745072321,-0.347219459287044,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,4,10.0,10,0.43598069776160964,0.30452655127125017,1.4316672747915435,-0.08938266629547065,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,5,10.0,10,0.2029598255743008,0.14321044052554754,1.417213890468253,-0.06986322775124976,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,6,10.0,10,0.45213613987453094,0.14482492061880045,3.1219498546213247,-0.04658762041684639,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,7,10.0,10,0.23226743114085657,0.12541828548764666,1.8519423243262425,-0.039059863549517404,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,8,10.0,10,0.26236749569502793,0.1086613887505368,2.414542080765715,-0.031976746936648204,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,9,10.0,10,-0.0813844160891164,0.10052577781301174,-0.8095875292772186,-0.05586737424328991,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,10,10.0,10,0.5709993649017235,0.12124466718777456,4.7094802447079465,-0.03848277516988019,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,11,10.0,10,0.08846305262301168,0.1393702098651031,0.6347343001635761,-0.06639044809793304,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,12,10.0,10,-0.21708799599325257,0.20433960992802125,-1.0623882274643646,-0.1331570725026041,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,13,10.0,10,-0.20847659434056887,0.17241148868793188,-1.2091804086020412,-0.12255523512842748,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,14,10.0,10,0.39321244916382314,0.18869260827143436,2.083878392290296,-0.04666650556755769,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,15,10.0,10,-0.10868539122865384,0.13898863374742898,-0.7819732326125001,-0.09482160559153285,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,16,10.0,10,0.009225192790116576,0.10891003497537445,0.08470470872695772,-0.07646630403118904,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,17,10.0,10,-0.09623498895058269,0.08966564793106374,-1.0732648586167166,-0.059972951956026255,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,18,10.0,10,0.34221348556432307,0.11167268065224485,3.064433338239019,-0.03368278057255214,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,19,10.0,10,0.3955380116741676,0.0937289924955172,4.220017746257809,-0.028818598911041104,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,20,10.0,10,-0.05610813494084432,0.09886817460056778,-0.5675045095851764,-0.04040460424101411,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,EW,21,10.0,10,0.4875647266310841,0.10795452762463015,4.5163897925790035,-0.040884340191877255,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,0,10.0,10,0.42965675526804237,0.13289505807910273,3.233052917656772,-0.023918734933721653,13.7999999999862
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,1,10.0,10,-0.12567003546015343,0.1349575951638522,-0.931181644920733,-0.06058795475229595,18.999999999981
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,2,10.0,10,0.2507003860673227,0.07644918881254545,3.2793073407065765,-0.020929200641026657,17.399999999982604
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,3,10.0,10,-0.49028526779610804,0.6408239525922266,-0.7650857397137972,-0.3652393201358948,21.799999999978198
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,4,10.0,10,0.38316919396150073,0.27926754239098284,1.3720505816020698,-0.08405214027786667,25.799999999974194
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,5,10.0,10,0.25555607608109776,0.15923333291926783,1.604915700716138,-0.06119817961945262,22.999999999977
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,6,10.0,10,0.529129325029134,0.1548973340381286,3.416000206275149,-0.033673503018900486,24.199999999975798
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,7,10.0,10,0.22070062023417814,0.1448637839703246,1.5235044549013383,-0.04955061075620415,29.7999999999702
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,8,10.0,10,0.13189104364457682,0.11409800028832802,1.1559452690680772,-0.05093139314011108,36.5999999999634
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,9,10.0,10,-0.005627006902077181,0.11188239667720272,-0.05029394318626937,-0.06353060100301833,32.999999999966995
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,10,10.0,10,0.6924082687144484,0.13423571789523456,5.158152238211937,-0.031720792859393554,36.1999999999638
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,11,10.0,10,0.35087276746349794,0.13187837101561614,2.660578567650713,-0.05063250505471606,41.39999999995861
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,12,10.0,10,-0.3190352999537147,0.20203030945986317,-1.5791457272183087,-0.1383003819812363,41.39999999995861
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,13,10.0,10,-0.427503015441963,0.20258878420720242,-2.1102008046142084,-0.14977738680738695,44.99999999995501
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,14,10.0,10,0.6110320930641611,0.1902724374230976,3.2113536849387896,-0.03677931786175148,47.79999999995223
